"country","date","dny","jaro_leto_podzim_zima","population_density","population","tests_performed","confirmed_per_day","gdp_per_person","gini","mortaliy_under5","median_age_2018","Christianity","Islam","Hinduism","Judaism","rozdil_doziti","prumer_temp","pocet_hodin","max_vitr"
Austria,"2020-03-10",pracovni_den,"0",107.2069267,8840521,292.0,64,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-12",pracovni_den,"0",107.2069267,8840521,507.0,202,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-14",vikend,"0",107.2069267,8840521,885.0,205,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-15",vikend,"0",107.2069267,8840521,700.0,158,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-16",pracovni_den,"0",107.2069267,8840521,323.0,314,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-17",pracovni_den,"0",107.2069267,8840521,1788.0,314,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-18",pracovni_den,"0",107.2069267,8840521,1699.0,367,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-19",pracovni_den,"0",107.2069267,8840521,1747.0,375,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-20",pracovni_den,"0",107.2069267,8840521,1889.0,426,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-23",pracovni_den,"0",107.2069267,8840521,2061.0,809,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-24",pracovni_den,"0",107.2069267,8840521,4962.0,305,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-25",pracovni_den,"0",107.2069267,8840521,4016.0,1321,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-26",pracovni_den,"0",107.2069267,8840521,3588.0,748,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-27",pracovni_den,"0",107.2069267,8840521,3557.0,614,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-28",vikend,"0",107.2069267,8840521,3198.0,517,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-29",vikend,"0",107.2069267,8840521,3691.0,830,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-01",pracovni_den,"1",107.2069267,8840521,3519.0,418,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-02",pracovni_den,"1",107.2069267,8840521,36327.0,395,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-04",vikend,"1",107.2069267,8840521,5791.0,270,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-05",vikend,"1",107.2069267,8840521,4282.0,246,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-06",pracovni_den,"1",107.2069267,8840521,2880.0,342,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-07",pracovni_den,"1",107.2069267,8840521,3939.0,303,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-08",pracovni_den,"1",107.2069267,8840521,5520.0,302,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-09",pracovni_den,"1",107.2069267,8840521,5532.0,311,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-10",pracovni_den,"1",107.2069267,8840521,8456.0,251,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-11",vikend,"1",107.2069267,8840521,6232.0,139,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-12",vikend,"1",107.2069267,8840521,3902.0,96,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-15",pracovni_den,"1",107.2069267,8840521,5005.0,140,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-16",pracovni_den,"1",107.2069267,8840521,6015.0,119,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-20",pracovni_den,"1",107.2069267,8840521,3706.0,78,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-21",pracovni_den,"1",107.2069267,8840521,6069.0,52,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-22",pracovni_den,"1",107.2069267,8840521,12776.0,77,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-23",pracovni_den,"1",107.2069267,8840521,4041.0,69,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-24",pracovni_den,"1",107.2069267,8840521,6851.0,77,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-26",vikend,"1",107.2069267,8840521,6542.0,49,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-04-28",pracovni_den,"1",107.2069267,8840521,7041.0,45,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
